2025/11/12 17:41:57 INFO mlflow.projects.utils: === Created directory /tmp/tmpq64t5c5i for downloading remote URIs passed to arguments of type 'path' ===
2025/11/12 17:41:57 INFO mlflow.projects.backend.local: === Running command 'python run.py --training_threshold=-1000000000000 --deploy=0 --project_name=freeway_experiments --parent_run_id='' --preprocessor='' --env='Taxi with Fuel' --sliding_window_size=100 --num_episodes=10000 --eval_interval=9 --alpha=0.99 --rl_algorithm=qreinforce --prism_dir=../prism_files --prism_file_path=freeway.prism --constant_definitions='' --prop='' --reward_flag=1 --max_steps=100 --disabled_features='' --wrong_action_penalty=1000 --postprocessor='' --layers=2 --neurons=64 --replay_buffer_size=300000 --epsilon=1 --epsilon_dec=0.9999 --epsilon_min=0.1 --gamma=0.99 --replace=304 --lr=0.01 --batch_size=32 --noise_scale=0.01 --prob_threshold=0 --task safe_training --seed 128 --interpreter '' --range_plotting 1' in run with ID '1bf5c58a4d304ea8b2e38465e6e902b0' === 
Set Seed to 128
/workspaces/coolmc/mlruns/437278008735162994/fb883d5ba68041cb9674883a2528efe3/artifacts/model
Warning: Model checkpoint not found at /workspaces/coolmc/mlruns/437278008735162994/fb883d5ba68041cb9674883a2528efe3/artifacts/model/quantum_reinforce.pth
Agent loaded.
0 Episode	Reward 0.0 	Average Reward 0.0 	Last Property Result: None
135 Episode	Reward 1.0 	Average Reward 0.08 	Last Property Result: None
136 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
137 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
138 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
139 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
140 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
141 Episode	Reward 1.0 	Average Reward 0.09 	Last Property Result: None
142 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
143 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
144 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
145 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
146 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
147 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
148 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
149 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
150 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
151 Episode	Reward 1.0 	Average Reward 0.09 	Last Property Result: None
152 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
153 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
